Attribute,Case 1 (INC0012345),Case 2 (INC0056789),Case 3 (INC0012346),Case 4 (INC0012347),,,
number,INC0012345,INC0056789,INC0012346,INC0012347,,,
incidentstate,Resolved,Resolved,Resolved,Resolved,,,
active,FALSE,FALSE,FALSE,FALSE,,,
reassignment_count,2,5,1,3,,,
reopen_count,1,0,0,1,,,
sys_mod_count,7,3,5,9,,,
made_sla,TRUE,TRUE,TRUE,TRUE,,,
caller_id,user_123,user_567,user_789,user_456,,,
opened_by,user_456,user_890,user_456,user_789,,,
opened_at,01/06/2024 09:15,05/06/2024 16:00,01/07/2024 10:00,02/08/2024 11:00,,,
sys_created_by,user_456,user_890,user_456,user_789,,,
sys_created_at,01/06/2024 09:20,05/06/2024 16:05,01/07/2024 10:05,02/08/2024 11:05,,,
sys_updated_by,user_789,user_123,user_123,user_789,,,
sys_updated_at,02/06/2024 14:30,06/06/2024 18:00,02/07/2024 12:15,03/08/2024 16:20,,,
contact_type,Email,Email,Phone,Email,,,
category,Security,Security,Malware,Denial of Service,,,
subcategory,Phishing,Brute-Force Attack,Ransomware,DDoS,,,
u_symptom,Suspicious email received,Multiple failed login attempts detected,Suspicious file activity detected,High volume of traffic causing disruption,,,
impact,1,2,2,3,,,
urgency,1,2,2,3,,,
priority,1,2,2,3,,,
assigned_to,user_789,user_123,user_123,user_456,,,
knowledge,TRUE,TRUE,TRUE,TRUE,,,
notify,Email,Email,Phone,Email,,,
rfc,RFC001224,RFC001227,RFC001235,RFC001236,,,
Case ID,CASE001,CASE002,CASE003,CASE004,,,
Case Title,Phishing Attack Detected,Brute-Force Login Attack Detected,Ransomware Attack on Critical Server,DDoS Attack Mitigation,,,
Creation Date,01/06/2024 09:15,05/06/2024 16:00,01/07/2024 10:00,02/08/2024 11:00,,,
Description,Suspicious email detected requiring immediate attention.,Multiple failed login attempts detected,Ransomware detected on a critical server requiring immediate containment.,Denial of Service attack detected on public-facing web application.,,,
